         12732740 function calls in 14.479 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       60    0.000    0.000    0.000    0.000 main.py:29(cards_value_minimal)
       20    0.000    0.000    0.000    0.000 {built-in method numpy.array}
       20    0.000    0.000    0.000    0.000 C:\github\jagermeister\273\env\lib\site-packages\numpy\core\_methods.py:50(_count_reduce_items)
      100    0.000    0.000    0.000    0.000 C:\Users\Jagermeister\AppData\Local\Programs\Python\Python37-32\lib\types.py:164(__get__)
       50    0.000    0.000    0.000    0.000 C:\github\jagermeister\273\src\card.py:20(remove)
       30    0.000    0.000    0.000    0.000 C:\github\jagermeister\273\env\lib\site-packages\numpy\core\fromnumeric.py:74(<dictcomp>)
       70    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       30    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       50    0.000    0.000    0.000    0.000 C:\github\jagermeister\273\src\card.py:9(bit_mask)
       50    0.000    0.000    0.000    0.000 C:\github\jagermeister\273\src\card.py:32(to_index)
      100    0.000    0.000    0.000    0.000 C:\Users\Jagermeister\AppData\Local\Programs\Python\Python37-32\lib\enum.py:628(value)
       10    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       20    0.000    0.000    0.000    0.000 {built-in method time.time}
       20    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       50    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       50    0.000    0.000    0.000    0.000 C:\github\jagermeister\273\src\card.py:28(value)
       20    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       30    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       20    0.000    0.000    0.000    0.000 C:\github\jagermeister\273\env\lib\site-packages\numpy\core\fromnumeric.py:3149(_mean_dispatcher)
       30    0.000    0.000    0.000    0.000 C:\github\jagermeister\273\env\lib\site-packages\numpy\core\fromnumeric.py:2040(_sum_dispatcher)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}

remove cards_from_hands impact
         4083078 function calls in 5.217 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.721    0.072    5.216    0.522 main.py:118(simulate_deuce_to_seven)
  1037940    2.461    0.000    2.461    0.000 main.py:50(cards_from_hand)
   100000    0.211    0.000    1.839    0.000 main.py:75(rank_hands)
    72960    0.232    0.000    1.478    0.000 main.py:60(is_flush)
   100000    0.694    0.000    1.067    0.000 C:\github\jagermeister\273\src\deck.py:10(cardPeek)
   100000    0.086    0.000    0.240    0.000 C:\Users\Jagermeister\AppData\Local\Programs\Python\Python37-32\lib\random.py:174(randrange)
   364800    0.140    0.000    0.198    0.000 main.py:61(<lambda>)
   100000    0.105    0.000    0.154    0.000 C:\Users\Jagermeister\AppData\Local\Programs\Python\Python37-32\lib\random.py:224(_randbelow)
    72950    0.100    0.000    0.140    0.000 main.py:67(is_values_straight)
   172970    0.094    0.000    0.094    0.000 {built-in method builtins.sorted}
   500000    0.066    0.000    0.066    0.000 main.py:139(<lambda>)
   200000    0.060    0.000    0.060    0.000 {built-in method builtins.bin}
   364800    0.057    0.000    0.057    0.000 C:\github\jagermeister\273\src\card.py:24(color)
   100000    0.055    0.000    0.055    0.000 {method 'rstrip' of 'str' objects}
   445930    0.044    0.000    0.044    0.000 {built-in method builtins.len}
   100050    0.037    0.000    0.037    0.000 C:\github\jagermeister\273\src\card.py:16(add)
   149347    0.036    0.000    0.036    0.000 {method 'getrandbits' of '_random.Random' objects}
